Currency Name,Currency Code,Buying Rate (Cash),Buying Rate (Transfer),Selling Rate,icon,Date
SAUDI ARABIAN RIYAL,SAR,0.0,6764.15,7012.74,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_sar.svg?h=32&w=32&ts=20230610195954&hash=732C766503BA27FF3A8764FAF20A2C0F,2025-01-05
SWEDISH KRONA,SEK,0.0,2238.32,2333.35,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_sek.svg?h=32&w=32&ts=20230610195949&hash=88CF4CDE8DB12CA0D56485A05EC27A22,2025-01-05
US DOLLAR,USD,25223.0,25253.0,25553.0,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_usa.svg?h=32&w=32&ts=20230610195953&hash=4576D9B7C910424CC72B7A592BA369AE,2025-01-06
EURO,EUR,25519.3,25777.08,26918.52,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_eur.svg?h=32&w=32&ts=20230610195955&hash=10502813C2316A5601FD57F7A0C89A3A,2025-01-06
UK POUND STERLING,GBP,30780.2,31091.11,32088.5,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_gbp.svg?h=32&w=32&ts=20230610195950&hash=72ED63A02E20F8B413E65DE9B7F062AE,2025-01-06
JAPANESE YEN,JPY,155.73,157.31,164.79,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_jpy.svg?h=32&w=32&ts=20230610195953&hash=C5D3E7B6B5EEE49C3D5C3C3A8B6798B8,2025-01-06
AUSTRALIAN DOLLAR,AUD,15430.97,15586.84,16086.86,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_aud.svg?h=32&w=32&ts=20230610195950&hash=F70700292015EB326CA79643D4F05C03,2025-01-06
SINGAPORE DOLLAR,SGD,18087.45,18270.15,18856.25,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_sgd.svg?h=32&w=32&ts=20230709003433&hash=C95A1CFD98A6896023B5EFE9D23459AA,2025-01-06
THAI BAHT,THB,650.7,723.0,750.69,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_thb.svg?h=32&w=32&ts=20230610195952&hash=AB6CDBA1C854ADE46132EBF0A6DCFEF4,2025-01-06
CANADIAN DOLLAR,CAD,17167.48,17340.88,17897.17,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_cad.svg?h=32&w=32&ts=20230610195951&hash=55B303641110059C97F6ABDE45B2FE20,2025-01-06
SWISS FRANC,CHF,27242.56,27517.74,28400.5,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_chf.svg?h=32&w=32&ts=20230610195952&hash=CBA2E48794BD6E04AAF8761C55AB07DF,2025-01-06
HONG KONG DOLLAR,HKD,3185.11,3217.28,3320.49,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_hkd.svg?h=32&w=32&ts=20230610195951&hash=E50E43ECCD43C736E273734DEEB000D8,2025-01-06
CHINESE YUAN,CNY,3384.52,3418.71,3528.38,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_cny.svg?h=32&w=32&ts=20230610195953&hash=1E37E5E1D30CA9F186D9B8A0A188AE7C,2025-01-06
DANISH KRONE,DKK,0.0,3446.97,3578.96,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_dkk.svg?h=32&w=32&ts=20230610195954&hash=7A1074CAFFF3E4469DD8DBFA9F95D1C0,2025-01-06
INDIAN RUPEE,INR,0.0,295.58,307.4,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_inr.svg?h=32&w=32&ts=20230610195952&hash=6E19DDEEC1053D83CE9C98283BE347AC,2025-01-06
KOREAN WON,KRW,14.92,16.58,17.99,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_krw.svg?h=32&w=32&ts=20230709003433&hash=43B80AF8FF6632988EB89EF0C30BDDE6,2025-01-06
KUWAITI DINAR,KWD,0.0,82169.53,85454.44,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_kwd.svg?h=32&w=32&ts=20230610195949&hash=76B738C67E5151DBB4F9D27A0DEA2FC3,2025-01-06
MALAYSIAN RINGGIT,MYR,0.0,5587.32,5709.17,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_myr.svg?h=32&w=32&ts=20230610195950&hash=4736802FBB11427761408F193E6452EC,2025-01-06
NORWEGIAN KRONE,NOK,0.0,2193.75,2286.89,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_nok.svg?h=32&w=32&ts=20230610195951&hash=48B571580E4926C86F257FE4D167F750,2025-01-06
RUSSIAN RUBLE,RUB,0.0,218.93,242.35,/-/media/Default-Website/Default-Images/Icons/Flags/im_flag_rub.svg?h=32&w=32&ts=20230709003433&hash=B5A31D5C371B6C922EBB4808605705EB,2025-01-06
